Test,Client,Metric,Phase,Value
BigBlock,Geth - Lighthouse,Median Spam Confirmed,Phase 1,0.0000
BigBlock,Mainnet - Lighthouse,Median Spam Confirmed,Phase 1,150.00
BigBlock,Nethermind - Lighthouse,Median Spam Confirmed,Phase 1,150.00
BigBlock,Besu - Lighthouse,Median Spam Confirmed,Phase 2,255.00
BigBlock,Equalweight - Lighthouse,Median Spam Confirmed,Phase 2,265.00
BigBlock,Geth - Lighthouse,Median Spam Confirmed,Phase 2,265.00
BigBlock,Mainnet - Lighthouse,Median Spam Confirmed,Phase 2,265.00
BigBlock,Nethermind - Lighthouse,Median Spam Confirmed,Phase 2,265.00
BigBlock,Besu - Lighthouse,Median Spam Pending,Phase 1,27.00
BigBlock,Equalweight - Lighthouse,Median Spam Pending,Phase 1,38.00
BigBlock,Geth - Lighthouse,Median Spam Pending,Phase 1,0.0000
BigBlock,Mainnet - Lighthouse,Median Spam Pending,Phase 1,11.00
BigBlock,Nethermind - Lighthouse,Median Spam Pending,Phase 1,17.00
BigBlock,Besu - Lighthouse,Median Spam Pending,Phase 2,141.00
BigBlock,Equalweight - Lighthouse,Median Spam Pending,Phase 2,183.00
BigBlock,Geth - Lighthouse,Median Spam Pending,Phase 2,191.00
BigBlock,Mainnet - Lighthouse,Median Spam Pending,Phase 2,190.00
BigBlock,Nethermind - Lighthouse,Median Spam Pending,Phase 2,196.00
BigBlock,Besu - Lighthouse,Median Spam Submitted,Phase 1,151.00
BigBlock,Equalweight - Lighthouse,Median Spam Submitted,Phase 1,150.00
BigBlock,Geth - Lighthouse,Median Spam Submitted,Phase 1,0.0000
BigBlock,Mainnet - Lighthouse,Median Spam Submitted,Phase 1,150.00
BigBlock,Nethermind - Lighthouse,Median Spam Submitted,Phase 1,150.00
BigBlock,Besu - Lighthouse,Median Spam Submitted,Phase 2,271.00
BigBlock,Equalweight - Lighthouse,Median Spam Submitted,Phase 2,270.00
BigBlock,Geth - Lighthouse,Median Spam Submitted,Phase 2,270.00
BigBlock,Mainnet - Lighthouse,Median Spam Submitted,Phase 2,270.00
BigBlock,Nethermind - Lighthouse,Median Spam Submitted,Phase 2,269.00
BigBlock,Besu - Lighthouse,Min Block Gas Used %,Phase 1,0.0000
BigBlock,Equalweight - Lighthouse,Min Block Gas Used %,Phase 1,0.0000
BigBlock,Geth - Lighthouse,Min Block Gas Used %,Phase 1,0.0000
BigBlock,Mainnet - Lighthouse,Min Block Gas Used %,Phase 1,0.0000
BigBlock,Nethermind - Lighthouse,Min Block Gas Used %,Phase 1,0.0000
BigBlock,Besu - Lighthouse,Min Block Gas Used %,Phase 2,11.69
BigBlock,Equalweight - Lighthouse,Min Block Gas Used %,Phase 2,44.18
BigBlock,Geth - Lighthouse,Min Block Gas Used %,Phase 2,0.0000
BigBlock,Mainnet - Lighthouse,Min Block Gas Used %,Phase 2,43.38
BigBlock,Nethermind - Lighthouse,Min Block Gas Used %,Phase 2,60.66
BigBlock,Besu - Lighthouse,Min Block Size kB,Phase 1,0.6132
BigBlock,Equalweight - Lighthouse,Min Block Size kB,Phase 1,0.6191
BigBlock,Geth - Lighthouse,Min Block Size kB,Phase 1,0.6259
BigBlock,Mainnet - Lighthouse,Min Block Size kB,Phase 1,0.6191
BigBlock,Nethermind - Lighthouse,Min Block Size kB,Phase 1,0.6191
BigBlock,Besu - Lighthouse,Min Block Size kB,Phase 2,21.68
BigBlock,Equalweight - Lighthouse,Min Block Size kB,Phase 2,1804.14
BigBlock,Geth - Lighthouse,Min Block Size kB,Phase 2,0.6259
BigBlock,Mainnet - Lighthouse,Min Block Size kB,Phase 2,1621.19
BigBlock,Nethermind - Lighthouse,Min Block Size kB,Phase 2,2287.52
BigBlock,Besu - Lighthouse,Min CPU %,Phase 1,0.0000
BigBlock,Equalweight - Lighthouse,Min CPU %,Phase 1,0.0000
BigBlock,Geth - Lighthouse,Min CPU %,Phase 1,0.0000
BigBlock,Mainnet - Lighthouse,Min CPU %,Phase 1,0.0000
BigBlock,Nethermind - Lighthouse,Min CPU %,Phase 1,0.0000
BigBlock,Besu - Lighthouse,Min CPU %,Phase 2,29.00
BigBlock,Equalweight - Lighthouse,Min CPU %,Phase 2,14.00
BigBlock,Geth - Lighthouse,Min CPU %,Phase 2,9.00
BigBlock,Mainnet - Lighthouse,Min CPU %,Phase 2,15.00
BigBlock,Nethermind - Lighthouse,Min CPU %,Phase 2,20.00
BigBlock,Besu - Lighthouse,Min CPU % per node,Phase 1,0.0000
BigBlock,Equalweight - Lighthouse,Min CPU % per node,Phase 1,0.0000
BigBlock,Geth - Lighthouse,Min CPU % per node,Phase 1,0.0000
BigBlock,Mainnet - Lighthouse,Min CPU % per node,Phase 1,0.0000
BigBlock,Nethermind - Lighthouse,Min CPU % per node,Phase 1,0.0000
BigBlock,Besu - Lighthouse,Min CPU % per node,Phase 2,2.41
BigBlock,Equalweight - Lighthouse,Min CPU % per node,Phase 2,1.16
BigBlock,Geth - Lighthouse,Min CPU % per node,Phase 2,0.7500
BigBlock,Mainnet - Lighthouse,Min CPU % per node,Phase 2,1.25
BigBlock,Nethermind - Lighthouse,Min CPU % per node,Phase 2,1.66
BigBlock,Besu - Lighthouse,Min Gas Gwei,Phase 1,2.04
BigBlock,Equalweight - Lighthouse,Min Gas Gwei,Phase 1,2.03
BigBlock,Geth - Lighthouse,Min Gas Gwei,Phase 1,2.02
BigBlock,Mainnet - Lighthouse,Min Gas Gwei,Phase 1,2.03
BigBlock,Nethermind - Lighthouse,Min Gas Gwei,Phase 1,2.03
BigBlock,Besu - Lighthouse,Min Gas Gwei,Phase 2,2.03
BigBlock,Equalweight - Lighthouse,Min Gas Gwei,Phase 2,2.03
BigBlock,Geth - Lighthouse,Min Gas Gwei,Phase 2,2.02
BigBlock,Mainnet - Lighthouse,Min Gas Gwei,Phase 2,2.03
BigBlock,Nethermind - Lighthouse,Min Gas Gwei,Phase 2,2.03
BigBlock,Besu - Lighthouse,Min Latency ms,Phase 1,689.00
BigBlock,Equalweight - Lighthouse,Min Latency ms,Phase 1,223.00
BigBlock,Geth - Lighthouse,Min Latency ms,Phase 1,2131.00
BigBlock,Mainnet - Lighthouse,Min Latency ms,Phase 1,485.00
BigBlock,Nethermind - Lighthouse,Min Latency ms,Phase 1,485.00
BigBlock,Besu - Lighthouse,Min Latency ms,Phase 2,859.00
BigBlock,Equalweight - Lighthouse,Min Latency ms,Phase 2,1582.00
BigBlock,Geth - Lighthouse,Min Latency ms,Phase 2,2694.00
BigBlock,Mainnet - Lighthouse,Min Latency ms,Phase 2,1975.00
BigBlock,Nethermind - Lighthouse,Min Latency ms,Phase 2,1416.00
BigBlock,Besu - Lighthouse,Min Net RX MB/s,Phase 1,0.0292
BigBlock,Equalweight - Lighthouse,Min Net RX MB/s,Phase 1,0.0120
BigBlock,Geth - Lighthouse,Min Net RX MB/s,Phase 1,0.0163
BigBlock,Mainnet - Lighthouse,Min Net RX MB/s,Phase 1,0.0014
BigBlock,Nethermind - Lighthouse,Min Net RX MB/s,Phase 1,0.0063
BigBlock,Besu - Lighthouse,Min Net RX MB/s,Phase 2,8.09
BigBlock,Equalweight - Lighthouse,Min Net RX MB/s,Phase 2,8.00
BigBlock,Geth - Lighthouse,Min Net RX MB/s,Phase 2,8.05
BigBlock,Mainnet - Lighthouse,Min Net RX MB/s,Phase 2,8.15
BigBlock,Nethermind - Lighthouse,Min Net RX MB/s,Phase 2,8.14
BigBlock,Besu - Lighthouse,Min Net TX MB/s,Phase 1,0.1881
BigBlock,Equalweight - Lighthouse,Min Net TX MB/s,Phase 1,0.1184
BigBlock,Geth - Lighthouse,Min Net TX MB/s,Phase 1,0.1615
BigBlock,Mainnet - Lighthouse,Min Net TX MB/s,Phase 1,0.0101
BigBlock,Nethermind - Lighthouse,Min Net TX MB/s,Phase 1,0.0481
BigBlock,Besu - Lighthouse,Min Net TX MB/s,Phase 2,10.20
BigBlock,Equalweight - Lighthouse,Min Net TX MB/s,Phase 2,10.08
BigBlock,Geth - Lighthouse,Min Net TX MB/s,Phase 2,9.98
BigBlock,Mainnet - Lighthouse,Min Net TX MB/s,Phase 2,10.19
BigBlock,Nethermind - Lighthouse,Min Net TX MB/s,Phase 2,10.23
BigBlock,Besu - Lighthouse,Min RAM GB,Phase 1,6.39
BigBlock,Equalweight - Lighthouse,Min RAM GB,Phase 1,4.62
BigBlock,Geth - Lighthouse,Min RAM GB,Phase 1,0.8515
BigBlock,Mainnet - Lighthouse,Min RAM GB,Phase 1,4.08
BigBlock,Nethermind - Lighthouse,Min RAM GB,Phase 1,4.88
BigBlock,Besu - Lighthouse,Min RAM GB,Phase 2,9.20
BigBlock,Equalweight - Lighthouse,Min RAM GB,Phase 2,5.09
BigBlock,Geth - Lighthouse,Min RAM GB,Phase 2,1.76
BigBlock,Mainnet - Lighthouse,Min RAM GB,Phase 2,4.15
BigBlock,Nethermind - Lighthouse,Min RAM GB,Phase 2,5.16
BigBlock,Besu - Lighthouse,Min RAM GB per node,Phase 1,0.5329
BigBlock,Equalweight - Lighthouse,Min RAM GB per node,Phase 1,0.3852
BigBlock,Geth - Lighthouse,Min RAM GB per node,Phase 1,0.0709
BigBlock,Mainnet - Lighthouse,Min RAM GB per node,Phase 1,0.3402
BigBlock,Nethermind - Lighthouse,Min RAM GB per node,Phase 1,0.4069
BigBlock,Besu - Lighthouse,Min RAM GB per node,Phase 2,0.7667
BigBlock,Equalweight - Lighthouse,Min RAM GB per node,Phase 2,0.4244
BigBlock,Geth - Lighthouse,Min RAM GB per node,Phase 2,0.1468
BigBlock,Mainnet - Lighthouse,Min RAM GB per node,Phase 2,0.3460
BigBlock,Nethermind - Lighthouse,Min RAM GB per node,Phase 2,0.4306
BigBlock,Besu - Lighthouse,Min Spam Confirmed,Phase 1,0.0000
BigBlock,Equalweight - Lighthouse,Min Spam Confirmed,Phase 1,0.0000
BigBlock,Geth - Lighthouse,Min Spam Confirmed,Phase 1,0.0000
BigBlock,Mainnet - Lighthouse,Min Spam Confirmed,Phase 1,0.0000
BigBlock,Nethermind - Lighthouse,Min Spam Confirmed,Phase 1,0.0000
BigBlock,Besu - Lighthouse,Min Spam Confirmed,Phase 2,151.00
BigBlock,Equalweight - Lighthouse,Min Spam Confirmed,Phase 2,65.00
BigBlock,Geth - Lighthouse,Min Spam Confirmed,Phase 2,0.0000
BigBlock,Mainnet - Lighthouse,Min Spam Confirmed,Phase 2,108.00
BigBlock,Nethermind - Lighthouse,Min Spam Confirmed,Phase 2,146.00
BigBlock,Besu - Lighthouse,Min Spam Pending,Phase 1,0.0000
BigBlock,Equalweight - Lighthouse,Min Spam Pending,Phase 1,0.0000
BigBlock,Geth - Lighthouse,Min Spam Pending,Phase 1,0.0000
BigBlock,Mainnet - Lighthouse,Min Spam Pending,Phase 1,0.0000
BigBlock,Nethermind - Lighthouse,Min Spam Pending,Phase 1,0.0000
BigBlock,Besu - Lighthouse,Min Spam Pending,Phase 2,35.00
BigBlock,Equalweight - Lighthouse,Min Spam Pending,Phase 2,0.0000
BigBlock,Geth - Lighthouse,Min Spam Pending,Phase 2,0.0000
BigBlock,Mainnet - Lighthouse,Min Spam Pending,Phase 2,0.0000
BigBlock,Nethermind - Lighthouse,Min Spam Pending,Phase 2,0.0000
BigBlock,Besu - Lighthouse,Min Spam Submitted,Phase 1,0.0000
BigBlock,Equalweight - Lighthouse,Min Spam Submitted,Phase 1,0.0000
BigBlock,Geth - Lighthouse,Min Spam Submitted,Phase 1,0.0000
BigBlock,Mainnet - Lighthouse,Min Spam Submitted,Phase 1,0.0000
BigBlock,Nethermind - Lighthouse,Min Spam Submitted,Phase 1,0.0000
BigBlock,Besu - Lighthouse,Min Spam Submitted,Phase 2,152.00
BigBlock,Equalweight - Lighthouse,Min Spam Submitted,Phase 2,0.0000
BigBlock,Geth - Lighthouse,Min Spam Submitted,Phase 2,0.0000
BigBlock,Mainnet - Lighthouse,Min Spam Submitted,Phase 2,0.0000
BigBlock,Nethermind - Lighthouse,Min Spam Submitted,Phase 2,0.0000
BigBlock,Besu - Lighthouse,TPS,Phase 1,11.93
BigBlock,Equalweight - Lighthouse,TPS,Phase 1,11.46
BigBlock,Geth - Lighthouse,TPS,Phase 1,5.96
BigBlock,Mainnet - Lighthouse,TPS,Phase 1,9.76
BigBlock,Nethermind - Lighthouse,TPS,Phase 1,11.09
BigBlock,Besu - Lighthouse,TPS,Phase 2,22.40
BigBlock,Equalweight - Lighthouse,TPS,Phase 2,22.25
BigBlock,Geth - Lighthouse,TPS,Phase 2,21.77
BigBlock,Mainnet - Lighthouse,TPS,Phase 2,22.20
BigBlock,Nethermind - Lighthouse,TPS,Phase 2,22.39
BigBlock,Besu - Lighthouse,TX Count,Phase 1,4298.00
BigBlock,Equalweight - Lighthouse,TX Count,Phase 1,4126.00
BigBlock,Geth - Lighthouse,TX Count,Phase 1,2149.00
BigBlock,Mainnet - Lighthouse,TX Count,Phase 1,3517.00
BigBlock,Nethermind - Lighthouse,TX Count,Phase 1,3994.00
BigBlock,Besu - Lighthouse,TX Count,Phase 2,8603.00
BigBlock,Equalweight - Lighthouse,TX Count,Phase 2,8546.00
BigBlock,Geth - Lighthouse,TX Count,Phase 2,8360.00
BigBlock,Mainnet - Lighthouse,TX Count,Phase 2,8526.00
BigBlock,Nethermind - Lighthouse,TX Count,Phase 2,8601.00
BigBlock,Besu - Lighthouse,Total Gas Used,Phase 1,157590261.00
BigBlock,Equalweight - Lighthouse,Total Gas Used,Phase 1,152073625.00
BigBlock,Geth - Lighthouse,Total Gas Used,Phase 1,84421945.00
BigBlock,Mainnet - Lighthouse,Total Gas Used,Phase 1,131212905.00
BigBlock,Nethermind - Lighthouse,Total Gas Used,Phase 1,147454096.00
BigBlock,Besu - Lighthouse,Total Gas Used,Phase 2,1438718496.00
BigBlock,Equalweight - Lighthouse,Total Gas Used,Phase 2,1452487923.00
BigBlock,Geth - Lighthouse,Total Gas Used,Phase 2,1413616250.00
BigBlock,Mainnet - Lighthouse,Total Gas Used,Phase 2,1453648041.00
BigBlock,Nethermind - Lighthouse,Total Gas Used,Phase 2,1464573741.00
BigBlock,Besu - Lighthouse,Total Spam Submitted,Phase 1,4323.00
BigBlock,Equalweight - Lighthouse,Total Spam Submitted,Phase 1,4164.00
BigBlock,Geth - Lighthouse,Total Spam Submitted,Phase 1,2208.00
BigBlock,Mainnet - Lighthouse,Total Spam Submitted,Phase 1,3525.00
BigBlock,Nethermind - Lighthouse,Total Spam Submitted,Phase 1,4014.00
BigBlock,Besu - Lighthouse,Total Spam Submitted,Phase 2,8635.00
BigBlock,Equalweight - Lighthouse,Total Spam Submitted,Phase 2,8507.00
BigBlock,Geth - Lighthouse,Total Spam Submitted,Phase 2,8300.00
BigBlock,Mainnet - Lighthouse,Total Spam Submitted,Phase 2,8516.00
BigBlock,Nethermind - Lighthouse,Total Spam Submitted,Phase 2,8577.00
BigBlock,Besu - Lighthouse,Total Spam Submitted (1-64),1-64,12958.00
BigBlock,Equalweight - Lighthouse,Total Spam Submitted (1-64),1-64,12671.00
BigBlock,Geth - Lighthouse,Total Spam Submitted (1-64),1-64,10508.00
BigBlock,Mainnet - Lighthouse,Total Spam Submitted (1-64),1-64,12041.00
BigBlock,Nethermind - Lighthouse,Total Spam Submitted (1-64),1-64,12591.00
BigBlock,Besu - Lighthouse,Total TX Count (1-64),1-64,12901.00
BigBlock,Equalweight - Lighthouse,Total TX Count (1-64),1-64,12672.00
BigBlock,Geth - Lighthouse,Total TX Count (1-64),1-64,10509.00
BigBlock,Mainnet - Lighthouse,Total TX Count (1-64),1-64,12043.00
BigBlock,Nethermind - Lighthouse,Total TX Count (1-64),1-64,12595.00
HighCompute,Besu - Lighthouse,Avg Block Gas Used %,Phase 1,11.27
HighCompute,Equalweight - Lighthouse,Avg Block Gas Used %,Phase 1,10.84
HighCompute,Geth - Lighthouse,Avg Block Gas Used %,Phase 1,10.84
HighCompute,Mainnet - Lighthouse,Avg Block Gas Used %,Phase 1,8.60
HighCompute,Nethermind - Lighthouse,Avg Block Gas Used %,Phase 1,10.04
HighCompute,Besu - Lighthouse,Avg Block Gas Used %,Phase 2,82.36
HighCompute,Equalweight - Lighthouse,Avg Block Gas Used %,Phase 2,83.12
HighCompute,Geth - Lighthouse,Avg Block Gas Used %,Phase 2,91.33
HighCompute,Mainnet - Lighthouse,Avg Block Gas Used %,Phase 2,88.65
HighCompute,Nethermind - Lighthouse,Avg Block Gas Used %,Phase 2,91.47
HighCompute,Besu - Lighthouse,Avg Block Size kB,Phase 1,19.97
HighCompute,Equalweight - Lighthouse,Avg Block Size kB,Phase 1,19.21
HighCompute,Geth - Lighthouse,Avg Block Size kB,Phase 1,19.20
HighCompute,Mainnet - Lighthouse,Avg Block Size kB,Phase 1,15.16
HighCompute,Nethermind - Lighthouse,Avg Block Size kB,Phase 1,17.64
HighCompute,Besu - Lighthouse,Avg Block Size kB,Phase 2,19.26
HighCompute,Equalweight - Lighthouse,Avg Block Size kB,Phase 2,20.28
HighCompute,Geth - Lighthouse,Avg Block Size kB,Phase 2,13.61
HighCompute,Mainnet - Lighthouse,Avg Block Size kB,Phase 2,14.24
HighCompute,Nethermind - Lighthouse,Avg Block Size kB,Phase 2,13.95
HighCompute,Besu - Lighthouse,Avg CPU %,Phase 1,151.56
HighCompute,Equalweight - Lighthouse,Avg CPU %,Phase 1,72.24
HighCompute,Geth - Lighthouse,Avg CPU %,Phase 1,28.02
HighCompute,Mainnet - Lighthouse,Avg CPU %,Phase 1,49.21
HighCompute,Nethermind - Lighthouse,Avg CPU %,Phase 1,62.98
HighCompute,Besu - Lighthouse,Avg CPU %,Phase 2,251.39
HighCompute,Equalweight - Lighthouse,Avg CPU %,Phase 2,144.82
HighCompute,Geth - Lighthouse,Avg CPU %,Phase 2,119.18
HighCompute,Mainnet - Lighthouse,Avg CPU %,Phase 2,118.53
HighCompute,Nethermind - Lighthouse,Avg CPU %,Phase 2,83.57
HighCompute,Besu - Lighthouse,Avg CPU % per node,Phase 1,12.63
HighCompute,Equalweight - Lighthouse,Avg CPU % per node,Phase 1,6.02
HighCompute,Geth - Lighthouse,Avg CPU % per node,Phase 1,2.33
HighCompute,Mainnet - Lighthouse,Avg CPU % per node,Phase 1,4.10
HighCompute,Nethermind - Lighthouse,Avg CPU % per node,Phase 1,5.24
HighCompute,Besu - Lighthouse,Avg CPU % per node,Phase 2,20.94
HighCompute,Equalweight - Lighthouse,Avg CPU % per node,Phase 2,12.06
HighCompute,Geth - Lighthouse,Avg CPU % per node,Phase 2,9.93
HighCompute,Mainnet - Lighthouse,Avg CPU % per node,Phase 2,9.87
HighCompute,Nethermind - Lighthouse,Avg CPU % per node,Phase 2,6.96
HighCompute,Besu - Lighthouse,Avg Gas Gwei,Phase 1,2.46
HighCompute,Equalweight - Lighthouse,Avg Gas Gwei,Phase 1,2.22
HighCompute,Geth - Lighthouse,Avg Gas Gwei,Phase 1,2.22
HighCompute,Mainnet - Lighthouse,Avg Gas Gwei,Phase 1,2.14
HighCompute,Nethermind - Lighthouse,Avg Gas Gwei,Phase 1,2.42
HighCompute,Besu - Lighthouse,Avg Gas Gwei,Phase 2,2.18
HighCompute,Equalweight - Lighthouse,Avg Gas Gwei,Phase 2,2.16
HighCompute,Geth - Lighthouse,Avg Gas Gwei,Phase 2,2.24
HighCompute,Mainnet - Lighthouse,Avg Gas Gwei,Phase 2,2.16
HighCompute,Nethermind - Lighthouse,Avg Gas Gwei,Phase 2,2.25
HighCompute,Besu - Lighthouse,Avg Latency ms,Phase 1,6878.18
HighCompute,Equalweight - Lighthouse,Avg Latency ms,Phase 1,7466.86
HighCompute,Geth - Lighthouse,Avg Latency ms,Phase 1,8130.69
HighCompute,Mainnet - Lighthouse,Avg Latency ms,Phase 1,7349.68
HighCompute,Nethermind - Lighthouse,Avg Latency ms,Phase 1,6440.80
HighCompute,Besu - Lighthouse,Avg Latency ms,Phase 2,38100.00
HighCompute,Equalweight - Lighthouse,Avg Latency ms,Phase 2,29433.85
HighCompute,Geth - Lighthouse,Avg Latency ms,Phase 2,68040.64
HighCompute,Mainnet - Lighthouse,Avg Latency ms,Phase 2,52908.53
HighCompute,Nethermind - Lighthouse,Avg Latency ms,Phase 2,68008.24
HighCompute,Besu - Lighthouse,Avg Net RX MB/s,Phase 1,4.47
HighCompute,Equalweight - Lighthouse,Avg Net RX MB/s,Phase 1,4.35
HighCompute,Geth - Lighthouse,Avg Net RX MB/s,Phase 1,4.19
HighCompute,Mainnet - Lighthouse,Avg Net RX MB/s,Phase 1,4.15
HighCompute,Nethermind - Lighthouse,Avg Net RX MB/s,Phase 1,4.12
HighCompute,Besu - Lighthouse,Avg Net RX MB/s,Phase 2,7.99
HighCompute,Equalweight - Lighthouse,Avg Net RX MB/s,Phase 2,8.02
HighCompute,Geth - Lighthouse,Avg Net RX MB/s,Phase 2,7.90
HighCompute,Mainnet - Lighthouse,Avg Net RX MB/s,Phase 2,8.26
HighCompute,Nethermind - Lighthouse,Avg Net RX MB/s,Phase 2,7.99
HighCompute,Besu - Lighthouse,Avg Net TX MB/s,Phase 1,5.63
HighCompute,Equalweight - Lighthouse,Avg Net TX MB/s,Phase 1,5.51
HighCompute,Geth - Lighthouse,Avg Net TX MB/s,Phase 1,5.34
HighCompute,Mainnet - Lighthouse,Avg Net TX MB/s,Phase 1,5.19
HighCompute,Nethermind - Lighthouse,Avg Net TX MB/s,Phase 1,5.19
HighCompute,Besu - Lighthouse,Avg Net TX MB/s,Phase 2,10.31
HighCompute,Equalweight - Lighthouse,Avg Net TX MB/s,Phase 2,10.32
HighCompute,Geth - Lighthouse,Avg Net TX MB/s,Phase 2,10.17
HighCompute,Mainnet - Lighthouse,Avg Net TX MB/s,Phase 2,10.52
HighCompute,Nethermind - Lighthouse,Avg Net TX MB/s,Phase 2,10.27
HighCompute,Besu - Lighthouse,Avg RAM GB,Phase 1,8.20
HighCompute,Equalweight - Lighthouse,Avg RAM GB,Phase 1,5.48
HighCompute,Geth - Lighthouse,Avg RAM GB,Phase 1,1.51
HighCompute,Mainnet - Lighthouse,Avg RAM GB,Phase 1,4.56
HighCompute,Nethermind - Lighthouse,Avg RAM GB,Phase 1,6.75
HighCompute,Besu - Lighthouse,Avg RAM GB,Phase 2,20.19
HighCompute,Equalweight - Lighthouse,Avg RAM GB,Phase 2,7.67
HighCompute,Geth - Lighthouse,Avg RAM GB,Phase 2,2.18
HighCompute,Mainnet - Lighthouse,Avg RAM GB,Phase 2,5.39
HighCompute,Nethermind - Lighthouse,Avg RAM GB,Phase 2,5.33
HighCompute,Besu - Lighthouse,Avg RAM GB per node,Phase 1,0.6835
HighCompute,Equalweight - Lighthouse,Avg RAM GB per node,Phase 1,0.4572
HighCompute,Geth - Lighthouse,Avg RAM GB per node,Phase 1,0.1265
HighCompute,Mainnet - Lighthouse,Avg RAM GB per node,Phase 1,0.3807
HighCompute,Nethermind - Lighthouse,Avg RAM GB per node,Phase 1,0.5628
HighCompute,Besu - Lighthouse,Avg RAM GB per node,Phase 2,1.68
HighCompute,Equalweight - Lighthouse,Avg RAM GB per node,Phase 2,0.6393
HighCompute,Geth - Lighthouse,Avg RAM GB per node,Phase 2,0.1823
HighCompute,Mainnet - Lighthouse,Avg RAM GB per node,Phase 2,0.4499
HighCompute,Nethermind - Lighthouse,Avg RAM GB per node,Phase 2,0.4442
HighCompute,Besu - Lighthouse,Avg Spam Confirmed,Phase 1,138.06
HighCompute,Equalweight - Lighthouse,Avg Spam Confirmed,Phase 1,132.45
HighCompute,Geth - Lighthouse,Avg Spam Confirmed,Phase 1,132.35
HighCompute,Mainnet - Lighthouse,Avg Spam Confirmed,Phase 1,103.00
HighCompute,Nethermind - Lighthouse,Avg Spam Confirmed,Phase 1,120.58
HighCompute,Besu - Lighthouse,Avg Spam Confirmed,Phase 2,132.90
HighCompute,Equalweight - Lighthouse,Avg Spam Confirmed,Phase 2,138.72
HighCompute,Geth - Lighthouse,Avg Spam Confirmed,Phase 2,91.81
HighCompute,Mainnet - Lighthouse,Avg Spam Confirmed,Phase 2,96.42
HighCompute,Nethermind - Lighthouse,Avg Spam Confirmed,Phase 2,94.81
HighCompute,Besu - Lighthouse,Avg Spam Pending,Phase 1,29.19
HighCompute,Equalweight - Lighthouse,Avg Spam Pending,Phase 1,40.06
HighCompute,Geth - Lighthouse,Avg Spam Pending,Phase 1,47.80
HighCompute,Mainnet - Lighthouse,Avg Spam Pending,Phase 1,25.54
HighCompute,Nethermind - Lighthouse,Avg Spam Pending,Phase 1,16.12
HighCompute,Besu - Lighthouse,Avg Spam Pending,Phase 2,374.03
HighCompute,Equalweight - Lighthouse,Avg Spam Pending,Phase 2,300.69
HighCompute,Geth - Lighthouse,Avg Spam Pending,Phase 2,524.15
HighCompute,Mainnet - Lighthouse,Avg Spam Pending,Phase 2,471.93
HighCompute,Nethermind - Lighthouse,Avg Spam Pending,Phase 2,526.81
HighCompute,Besu - Lighthouse,Avg Spam Submitted,Phase 1,139.32
HighCompute,Equalweight - Lighthouse,Avg Spam Submitted,Phase 1,134.32
HighCompute,Geth - Lighthouse,Avg Spam Submitted,Phase 1,134.22
HighCompute,Mainnet - Lighthouse,Avg Spam Submitted,Phase 1,104.03
HighCompute,Nethermind - Lighthouse,Avg Spam Submitted,Phase 1,121.41
HighCompute,Besu - Lighthouse,Avg Spam Submitted,Phase 2,132.03
HighCompute,Equalweight - Lighthouse,Avg Spam Submitted,Phase 2,137.24
HighCompute,Geth - Lighthouse,Avg Spam Submitted,Phase 2,99.06
HighCompute,Mainnet - Lighthouse,Avg Spam Submitted,Phase 2,116.39
HighCompute,Nethermind - Lighthouse,Avg Spam Submitted,Phase 2,103.21
HighCompute,Besu - Lighthouse,Max Block Gas Used %,Phase 1,23.76
HighCompute,Equalweight - Lighthouse,Max Block Gas Used %,Phase 1,23.76
HighCompute,Geth - Lighthouse,Max Block Gas Used %,Phase 1,23.76
HighCompute,Mainnet - Lighthouse,Max Block Gas Used %,Phase 1,23.76
HighCompute,Nethermind - Lighthouse,Max Block Gas Used %,Phase 1,13.07
HighCompute,Besu - Lighthouse,Max Block Gas Used %,Phase 2,100.00
HighCompute,Equalweight - Lighthouse,Max Block Gas Used %,Phase 2,100.00
HighCompute,Geth - Lighthouse,Max Block Gas Used %,Phase 2,100.00
HighCompute,Mainnet - Lighthouse,Max Block Gas Used %,Phase 2,100.00
HighCompute,Nethermind - Lighthouse,Max Block Gas Used %,Phase 2,100.00
HighCompute,Besu - Lighthouse,Max Block Size kB,Phase 1,22.00
HighCompute,Equalweight - Lighthouse,Max Block Size kB,Phase 1,24.10
HighCompute,Geth - Lighthouse,Max Block Size kB,Phase 1,21.89
HighCompute,Mainnet - Lighthouse,Max Block Size kB,Phase 1,24.10
HighCompute,Nethermind - Lighthouse,Max Block Size kB,Phase 1,22.00
HighCompute,Besu - Lighthouse,Max Block Size kB,Phase 2,129.48
HighCompute,Equalweight - Lighthouse,Max Block Size kB,Phase 2,106.48
HighCompute,Geth - Lighthouse,Max Block Size kB,Phase 2,129.49
HighCompute,Mainnet - Lighthouse,Max Block Size kB,Phase 2,129.49
HighCompute,Nethermind - Lighthouse,Max Block Size kB,Phase 2,129.50
HighCompute,Besu - Lighthouse,Max CPU %,Phase 1,1482.00
HighCompute,Equalweight - Lighthouse,Max CPU %,Phase 1,502.00
HighCompute,Geth - Lighthouse,Max CPU %,Phase 1,178.00
HighCompute,Mainnet - Lighthouse,Max CPU %,Phase 1,306.00
HighCompute,Nethermind - Lighthouse,Max CPU %,Phase 1,483.00
HighCompute,Besu - Lighthouse,Max CPU %,Phase 2,1858.00
HighCompute,Equalweight - Lighthouse,Max CPU %,Phase 2,1196.00
