"Time","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-nethermind:5054"", job=""cl-13-lighthouse-nethermind"", service=""cl-13-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-14-lighthouse-besu:5054"", job=""cl-14-lighthouse-besu"", service=""cl-14-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-10-lighthouse-nethermind:5054"", job=""cl-10-lighthouse-nethermind"", service=""cl-10-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-08-lighthouse-nethermind:5054"", job=""cl-08-lighthouse-nethermind"", service=""cl-08-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-01-lighthouse-geth:5054"", job=""cl-01-lighthouse-geth"", service=""cl-01-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-07-lighthouse-geth:5054"", job=""cl-07-lighthouse-geth"", service=""cl-07-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-15-lighthouse-besu:5054"", job=""cl-15-lighthouse-besu"", service=""cl-15-lighthouse-besu"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-09-lighthouse-nethermind:5054"", job=""cl-09-lighthouse-nethermind"", service=""cl-09-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-12-lighthouse-nethermind:5054"", job=""cl-12-lighthouse-nethermind"", service=""cl-12-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-13-lighthouse-nethermind:5054"", job=""cl-13-lighthouse-nethermind"", service=""cl-13-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-06-lighthouse-geth:5054"", job=""cl-06-lighthouse-geth"", service=""cl-06-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-03-lighthouse-geth:5054"", job=""cl-03-lighthouse-geth"", service=""cl-03-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-02-lighthouse-geth:5054"", job=""cl-02-lighthouse-geth"", service=""cl-02-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-05-lighthouse-geth:5054"", job=""cl-05-lighthouse-geth"", service=""cl-05-lighthouse-geth"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-11-lighthouse-nethermind:5054"", job=""cl-11-lighthouse-nethermind"", service=""cl-11-lighthouse-nethermind"", supernode=""False""}","{client_name=""lighthouse"", client_type=""beacon"", instance=""cl-04-lighthouse-geth:5054"", job=""cl-04-lighthouse-geth"", service=""cl-04-lighthouse-geth"", supernode=""False""}"
2025-11-16 16:06:45,1.04 Mb/s,866 kb/s,870 kb/s,906 kb/s,1.03 Mb/s,1.07 Mb/s,1.08 Mb/s,835 kb/s,741 kb/s,1.10 Mb/s,972 kb/s,852 kb/s,783 kb/s,836 kb/s,855 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:07:00,1.03 Mb/s,871 kb/s,880 kb/s,914 kb/s,1.03 Mb/s,1.08 Mb/s,1.08 Mb/s,827 kb/s,769 kb/s,1.09 Mb/s,987 kb/s,852 kb/s,795 kb/s,858 kb/s,885 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:07:15,1.06 Mb/s,877 kb/s,894 kb/s,913 kb/s,1.02 Mb/s,1.10 Mb/s,1.11 Mb/s,846 kb/s,779 kb/s,1.12 Mb/s,989 kb/s,863 kb/s,811 kb/s,854 kb/s,899 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:07:30,1.06 Mb/s,888 kb/s,895 kb/s,933 kb/s,1.05 Mb/s,1.07 Mb/s,1.10 Mb/s,850 kb/s,789 kb/s,1.14 Mb/s,1.01 Mb/s,853 kb/s,801 kb/s,878 kb/s,902 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:07:45,1.07 Mb/s,901 kb/s,912 kb/s,934 kb/s,1.05 Mb/s,1.10 Mb/s,1.11 Mb/s,849 kb/s,782 kb/s,1.13 Mb/s,1.01 Mb/s,872 kb/s,819 kb/s,877 kb/s,898 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:08:00,1.06 Mb/s,896 kb/s,909 kb/s,931 kb/s,1.05 Mb/s,1.08 Mb/s,1.10 Mb/s,844 kb/s,808 kb/s,1.14 Mb/s,1.01 Mb/s,869 kb/s,818 kb/s,887 kb/s,920 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:08:15,1.08 Mb/s,899 kb/s,913 kb/s,920 kb/s,1.04 Mb/s,1.09 Mb/s,1.21 Mb/s,860 kb/s,804 kb/s,1.16 Mb/s,999 kb/s,874 kb/s,823 kb/s,871 kb/s,927 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:08:30,1.08 Mb/s,908 kb/s,906 kb/s,940 kb/s,1.06 Mb/s,1.06 Mb/s,1.21 Mb/s,863 kb/s,809 kb/s,1.18 Mb/s,1.02 Mb/s,859 kb/s,812 kb/s,891 kb/s,923 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:08:45,1.10 Mb/s,915 kb/s,915 kb/s,945 kb/s,1.06 Mb/s,1.08 Mb/s,1.23 Mb/s,855 kb/s,795 kb/s,1.18 Mb/s,1.02 Mb/s,880 kb/s,832 kb/s,884 kb/s,909 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:09:00,1.08 Mb/s,912 kb/s,917 kb/s,935 kb/s,1.06 Mb/s,1.08 Mb/s,1.20 Mb/s,848 kb/s,813 kb/s,1.18 Mb/s,1.02 Mb/s,876 kb/s,824 kb/s,889 kb/s,922 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:09:15,1.11 Mb/s,908 kb/s,914 kb/s,920 kb/s,1.04 Mb/s,1.08 Mb/s,1.22 Mb/s,861 kb/s,812 kb/s,1.20 Mb/s,1.01 Mb/s,879 kb/s,826 kb/s,866 kb/s,928 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:09:30,1.10 Mb/s,908 kb/s,909 kb/s,932 kb/s,1.07 Mb/s,1.06 Mb/s,1.21 Mb/s,866 kb/s,821 kb/s,1.21 Mb/s,1.03 Mb/s,868 kb/s,807 kb/s,886 kb/s,921 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:09:45,1.12 Mb/s,921 kb/s,929 kb/s,946 kb/s,1.08 Mb/s,1.10 Mb/s,1.24 Mb/s,868 kb/s,805 kb/s,1.22 Mb/s,1.04 Mb/s,877 kb/s,832 kb/s,883 kb/s,923 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:10:00,1.10 Mb/s,914 kb/s,915 kb/s,931 kb/s,1.07 Mb/s,1.10 Mb/s,1.22 Mb/s,861 kb/s,820 kb/s,1.21 Mb/s,1.03 Mb/s,872 kb/s,830 kb/s,886 kb/s,940 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:10:15,1.12 Mb/s,907 kb/s,914 kb/s,920 kb/s,1.06 Mb/s,1.11 Mb/s,1.23 Mb/s,875 kb/s,819 kb/s,1.23 Mb/s,1.02 Mb/s,875 kb/s,836 kb/s,866 kb/s,947 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:10:30,1.11 Mb/s,906 kb/s,902 kb/s,939 kb/s,1.08 Mb/s,1.08 Mb/s,1.21 Mb/s,880 kb/s,821 kb/s,1.24 Mb/s,1.04 Mb/s,862 kb/s,818 kb/s,885 kb/s,941 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:10:45,1.12 Mb/s,914 kb/s,912 kb/s,938 kb/s,1.09 Mb/s,1.10 Mb/s,1.22 Mb/s,873 kb/s,803 kb/s,1.24 Mb/s,1.04 Mb/s,875 kb/s,831 kb/s,881 kb/s,927 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:11:00,1.10 Mb/s,910 kb/s,905 kb/s,923 kb/s,1.08 Mb/s,1.10 Mb/s,1.19 Mb/s,865 kb/s,822 kb/s,1.23 Mb/s,1.03 Mb/s,871 kb/s,828 kb/s,880 kb/s,944 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:11:15,1.12 Mb/s,906 kb/s,904 kb/s,915 kb/s,1.06 Mb/s,1.11 Mb/s,1.21 Mb/s,874 kb/s,820 kb/s,1.24 Mb/s,1.01 Mb/s,875 kb/s,828 kb/s,862 kb/s,947 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:11:30,1.11 Mb/s,905 kb/s,898 kb/s,931 kb/s,1.09 Mb/s,1.08 Mb/s,1.20 Mb/s,872 kb/s,822 kb/s,1.25 Mb/s,1.04 Mb/s,862 kb/s,809 kb/s,875 kb/s,945 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:11:45,1.14 Mb/s,911 kb/s,910 kb/s,931 kb/s,1.09 Mb/s,1.11 Mb/s,1.23 Mb/s,866 kb/s,811 kb/s,1.24 Mb/s,1.03 Mb/s,887 kb/s,823 kb/s,866 kb/s,936 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:12:00,1.12 Mb/s,915 kb/s,913 kb/s,931 kb/s,1.09 Mb/s,1.11 Mb/s,1.21 Mb/s,881 kb/s,825 kb/s,1.24 Mb/s,1.03 Mb/s,879 kb/s,843 kb/s,909 kb/s,952 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:12:15,1.15 Mb/s,910 kb/s,914 kb/s,913 kb/s,1.07 Mb/s,1.11 Mb/s,1.23 Mb/s,892 kb/s,821 kb/s,1.25 Mb/s,1.01 Mb/s,881 kb/s,845 kb/s,887 kb/s,956 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:12:30,1.14 Mb/s,907 kb/s,901 kb/s,930 kb/s,1.10 Mb/s,1.09 Mb/s,1.22 Mb/s,891 kb/s,823 kb/s,1.25 Mb/s,1.03 Mb/s,863 kb/s,825 kb/s,904 kb/s,945 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:12:45,1.14 Mb/s,912 kb/s,911 kb/s,931 kb/s,1.10 Mb/s,1.11 Mb/s,1.23 Mb/s,885 kb/s,801 kb/s,1.24 Mb/s,1.02 Mb/s,876 kb/s,840 kb/s,899 kb/s,928 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:13:00,1.12 Mb/s,901 kb/s,904 kb/s,919 kb/s,1.09 Mb/s,1.10 Mb/s,1.12 Mb/s,873 kb/s,817 kb/s,1.23 Mb/s,1.01 Mb/s,872 kb/s,839 kb/s,904 kb/s,940 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:13:15,1.14 Mb/s,894 kb/s,902 kb/s,906 kb/s,1.07 Mb/s,1.11 Mb/s,1.13 Mb/s,887 kb/s,812 kb/s,1.23 Mb/s,994 kb/s,879 kb/s,839 kb/s,882 kb/s,943 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:13:30,1.12 Mb/s,896 kb/s,899 kb/s,920 kb/s,1.09 Mb/s,1.08 Mb/s,1.12 Mb/s,888 kb/s,819 kb/s,1.24 Mb/s,1.01 Mb/s,890 kb/s,819 kb/s,905 kb/s,937 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:13:45,1.16 Mb/s,914 kb/s,922 kb/s,949 kb/s,1.11 Mb/s,1.11 Mb/s,1.15 Mb/s,886 kb/s,798 kb/s,1.24 Mb/s,1.01 Mb/s,905 kb/s,840 kb/s,914 kb/s,935 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:14:00,1.14 Mb/s,907 kb/s,915 kb/s,941 kb/s,1.10 Mb/s,1.11 Mb/s,1.12 Mb/s,880 kb/s,816 kb/s,1.23 Mb/s,1.00 Mb/s,900 kb/s,840 kb/s,921 kb/s,951 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:14:15,1.16 Mb/s,905 kb/s,912 kb/s,931 kb/s,1.08 Mb/s,1.12 Mb/s,1.14 Mb/s,890 kb/s,808 kb/s,1.24 Mb/s,980 kb/s,898 kb/s,845 kb/s,901 kb/s,958 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:14:30,1.14 Mb/s,898 kb/s,890 kb/s,936 kb/s,1.09 Mb/s,1.08 Mb/s,1.12 Mb/s,881 kb/s,811 kb/s,1.24 Mb/s,990 kb/s,886 kb/s,818 kb/s,918 kb/s,939 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:14:45,1.15 Mb/s,903 kb/s,900 kb/s,937 kb/s,1.09 Mb/s,1.10 Mb/s,1.21 Mb/s,874 kb/s,792 kb/s,1.23 Mb/s,990 kb/s,900 kb/s,830 kb/s,914 kb/s,922 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:15:00,1.13 Mb/s,900 kb/s,896 kb/s,934 kb/s,1.08 Mb/s,1.09 Mb/s,1.18 Mb/s,865 kb/s,806 kb/s,1.21 Mb/s,980 kb/s,899 kb/s,830 kb/s,918 kb/s,933 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:15:15,1.15 Mb/s,896 kb/s,895 kb/s,920 kb/s,1.06 Mb/s,1.10 Mb/s,1.20 Mb/s,872 kb/s,803 kb/s,1.22 Mb/s,957 kb/s,900 kb/s,835 kb/s,895 kb/s,937 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:15:30,1.14 Mb/s,896 kb/s,888 kb/s,936 kb/s,1.08 Mb/s,1.07 Mb/s,1.19 Mb/s,876 kb/s,808 kb/s,1.23 Mb/s,971 kb/s,888 kb/s,816 kb/s,908 kb/s,933 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:15:45,1.18 Mb/s,899 kb/s,904 kb/s,940 kb/s,1.08 Mb/s,1.09 Mb/s,1.22 Mb/s,870 kb/s,800 kb/s,1.23 Mb/s,974 kb/s,918 kb/s,832 kb/s,904 kb/s,938 kb/s,,,,,,,,,,,,,,,
2025-11-16 16:15:56,,,,,,,,,,,,,,,,924 kb/s,1.24 Mb/s,877 kb/s,1.16 Mb/s,1.20 Mb/s,960 kb/s,800 kb/s,918 kb/s,837 kb/s,1.10 Mb/s,928 kb/s,914 kb/s,1.09 Mb/s,991 kb/s,950 kb/s
